Record Type,Sr No,Name of Security,Typ,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,2328,UNIINFO,EQ,46558,23648,50.79
20,2329,UNIONBANK,EQ,7380835,3428838,46.46
20,2330,UNIPARTS,EQ,204445,122267,59.8
20,2331,UNITDSPR,EQ,487071,297822,61.15
20,2332,UNITEDPOLY,EQ,23386,18019,77.05
20,2333,UNITEDTEA,EQ,2661,1707,64.15
20,2334,UNIVASTU,EQ,113649,64876,57.08
20,2335,UNIVCABLES,EQ,30634,13512,44.11
20,2336,UNIVPHOTO,EQ,3647,2040,55.94
20,2337,UNOMINDA,EQ,607836,345445,56.83
20,2338,UPL,EQ,1995012,674073,33.79
20,2339,URBAN,SM,25600,18400,71.88
20,2340,URJA,EQ,7730098,2959349,38.28
20,2341,USASEEDS,SM,600,600,100
20,2342,USHAMART,EQ,904910,572414,63.26
20,2343,UTIAMC,EQ,182118,102634,56.36
20,2344,UTIBANKETF,EQ,30181,18981,62.89
20,2345,UTINEXT50,EQ,90228,50371,55.83
20,2346,UTINIFTETF,EQ,6242,5251,84.12
20,2347,UTISENSETF,EQ,457,235,51.42
20,2348,UTISXN50,EQ,1671,1527,91.38
20,2349,UTKARSHBNK,EQ,1115309,574312,51.49
20,2350,UTSSAV,SM,891600,438000,49.13
20,2351,UTTAMSUGAR,EQ,204992,74582,36.38
20,2352,VADILALIND,EQ,6034,3785,62.73
20,2353,VAIBHAVGBL,EQ,1175729,396940,33.76
20,2354,VAISHALI,EQ,497746,283849,57.03
20,2355,VAKRANGEE,EQ,3483317,1345842,38.64
20,2356,VALIANTLAB,EQ,162765,80111,49.22
20,2357,VALIANTORG,EQ,21525,12246,56.89
20,2358,VARDHACRLC,EQ,66796,37096,55.54
20,2359,VARDMNPOLY,EQ,384433,315833,82.16
20,2360,VARROC,EQ,1903818,214989,11.29
20,2361,VASA,ST,20000,20000,100
20,2362,VASCONEQ,EQ,4082681,1939843,47.51
20,2363,VASWANI,EQ,721880,321299,44.51
20,2364,VBL,EQ,1051593,580562,55.21
20,2365,VEDL,EQ,6908675,2950707,42.71
20,2366,VEEKAYEM,SM,2000,2000,100
20,2367,VENKEYS,EQ,56727,28653,50.51
20,2368,VENUSPIPES,EQ,174498,113940,65.3
20,2369,VENUSREM,EQ,43311,21858,50.47
20,2370,VERITAAS,SM,64800,51600,79.63
20,2371,VERTOZ,EQ,458298,253078,55.22
20,2372,VESUVIUS,EQ,15093,6783,44.94
20,2373,VETO,EQ,1219908,441109,36.16
20,2374,VGUARD,EQ,568770,218561,38.43
20,2375,VHL,EQ,4052,1884,46.5
20,2376,VIAZ,SM,8000,6000,75
20,2377,VIDHIING,EQ,13390,9178,68.54
20,2378,VIJAYA,EQ,241792,129134,53.41
20,2379,VIKASECO,EQ,12561868,3858366,30.71
20,2380,VIKASLIFE,EQ,6582909,3738524,56.79
20,2381,VILAS,ST,39000,32000,82.05
20,2382,VILINBIO,SM,4000,4000,100
20,2383,VIMTALABS,EQ,40590,21810,53.73
20,2384,VINATIORGA,EQ,40025,23407,58.48
20,2385,VINDHYATEL,EQ,89061,41641,46.76
20,2386,VINEETLAB,EQ,84428,48789,57.79
20,2387,VINSYS,SM,17000,12500,73.53
20,2388,VINYAS,ST,9200,9000,97.83
20,2389,VINYLINDIA,EQ,53336,31288,58.66
20,2390,VIPIND,EQ,294202,149395,50.78
20,2391,VIPULLTD,EQ,460435,328108,71.26
20,2392,VIRINCHI,EQ,4982113,2256941,45.3
20,2393,VISAKAIND,EQ,343175,184206,53.68
20,2394,VISAMAN,SM,3000,3000,100
20,2395,VISHNU,EQ,147177,88903,60.41
20,2396,VISHNUINFR,SM,170000,135000,79.41
20,2397,VISHWARAJ,EQ,800152,360925,45.11
20,2398,VISHWAS,SM,80000,78400,98
20,2399,VITAL,ST,9600,8400,87.5
20,2400,VIVIANA,ST,7000,6000,85.71
20,2401,VIVO,SM,3200,3200,100
20,2402,VLEGOV,EQ,5608411,1162077,20.72
20,2403,VLINFRA,SM,279000,183000,65.59
20,2404,VLSFINANCE,EQ,112690,69960,62.08
20,2405,VMARCIND,SM,143000,97000,67.83
20,2406,VMART,EQ,6527,3358,51.45
20,2407,VOLTAMP,EQ,23215,11976,51.59
20,2408,VOLTAS,EQ,1487294,785560,52.82
20,2409,VPRPL,EQ,1207782,613482,50.79
20,2410,VR,SM,1600,1600,100
20,2411,VRAJ,EQ,183073,98968,54.06
20,2412,VRLLOG,EQ,335195,281515,83.99
20,2413,VSCL,SM,21000,21000,100
20,2414,VSSL,EQ,194666,130188,66.88
20,2415,VSTIND,EQ,237913,135018,56.75
20,2416,VSTTILLERS,EQ,6429,3192,49.65
20,2417,VTL,EQ,4183280,625866,14.96
20,2418,WABAG,EQ,290797,126488,43.5
20,2419,WALCHANNAG,EQ,522965,201561,38.54
20,2420,WALPAR,SM,2000,2000,100
20,2421,WANBURY,EQ,249262,175603,70.45
20,2422,WEL,EQ,265177,56167,21.18
20,2423,WELCORP,EQ,1279176,776018,60.67
20,2424,WELENT,EQ,1294280,523298,40.43
20,2425,WELINV,EQ,723,394,54.5
20,2426,WELSPUNLIV,EQ,3871586,2035458,52.57
20,2427,WENDT,EQ,179,101,56.42
20,2428,WESTLIFE,EQ,176315,95389,54.1
20,2429,WHEELS,EQ,46854,26903,57.42
20,2430,WHIRLPOOL,EQ,63100,36238,57.43
20,2431,WILLAMAGOR,EQ,14647,9042,61.73
20,2432,WINDLAS,EQ,29898,14917,49.89
20,2433,WINDMACHIN,EQ,617902,353920,57.28
20,2434,WINNY,SM,1000,1000,100
20,2435,WINSOL,SM,62400,35200,56.41
20,2436,WIPRO,EQ,5638853,2151364,38.15
20,2437,WOMANCART,ST,6400,6400,100
20,2438,WONDERLA,EQ,44778,23441,52.35
20,2439,WORTH,EQ,34939,21694,62.09
20,2440,WSI,EQ,134260,69652,51.88
20,2441,WSTCSTPAPR,EQ,497757,278205,55.89
20,2442,WTICAB,SM,41000,23000,56.1
20,2443,XCHANGING,EQ,341298,156373,45.82
20,2444,XELPMOC,EQ,81903,58140,70.99
20,2445,XPROINDIA,EQ,49863,28588,57.33
20,2446,YAARI,EQ,437015,257686,58.97
20,2447,YASHO,EQ,8626,5510,63.88
20,2448,YASHOPTICS,SM,188800,160000,84.75
20,2449,YATHARTH,EQ,1216424,744477,61.2
20,2450,YATRA,EQ,1113358,591398,53.12
20,2451,YCCL,SM,12000,12000,100
20,2452,YESBANK,EQ,111141944,40005557,36
20,2453,YUDIZ,ST,2400,2400,100
20,2454,YUKEN,EQ,9520,7015,73.69
20,2455,ZAGGLE,EQ,1497391,634963,42.4
20,2456,ZEAL,SM,90600,71400,78.81
20,2457,ZEEL,EQ,6998221,3612985,51.63
20,2458,ZEEMEDIA,EQ,2024498,973792,48.1
20,2459,ZENITHDRUG,SM,705600,416000,58.96
20,2460,ZENSARTECH,EQ,405748,182830,45.06
20,2461,ZENTEC,EQ,446397,178760,40.05
20,2462,ZFCVINDIA,EQ,6573,5017,76.33
20,2463,ZIMLAB,EQ,144634,85564,59.16
20,2464,ZOMATO,EQ,102220794,37653406,36.84
20,2465,ZOTA,EQ,123760,59840,48.35
20,2466,ZTECH,SM,106800,66000,61.8
20,2467,ZUARI,EQ,267225,104523,39.11
20,2468,ZUARIIND,EQ,234844,114744,48.86
20,2469,ZYDUSLIFE,EQ,2153807,1236993,57.43
20,2470,ZYDUSWELL,EQ,11154,5821,52.19
,,,,,,
,,,,,,
,,,,,,
